date,spy,aapl,goog,msft,mkt-rf,smb,hml,rf
2018M06,0.005734546,-0.009462841,0.027866441,-0.002329765,-0.49,-0.7,-1.32,0.14
2018M07,0.036376833,0.027598969,0.087165198,0.07302089,2.53,-2.56,1.02,0.16
2018M08,0.031420741,0.182673341,0.000763738,0.061088363,0.87,-0.38,-4.09,0.16
2018M09,0.005928266,-0.008337698,-0.020501121,0.017997911,0.32,-1.5,0.31,0.15
2018M10,-0.071608187,-0.030951308,-0.102899194,-0.068387395,-8.19,-2.51,2.39,0.19
2018M11,0.018379254,-0.199912708,0.01626785,0.041798189,0.88,-0.57,-1.32,0.18
2018M12,-0.092168311,-0.124088711,-0.055243091,-0.087790707,-7.68,-1.01,0.7,0.19
2019M01,0.077021791,0.053686931,0.075091763,0.027768655,7.47,0,-0.77,0.21
2019M02,0.031901317,0.043803048,0.003174866,0.074511337,2.95,0.31,-2.21,0.18
2019M03,0.017938781,0.092602508,0.0465716,0.051409495,0.76,-1.83,-3.18,0.19
2019M04,0.040039881,0.054900795,0.012846351,0.101963126,3.44,-1.23,-0.17,0.21
2019M05,-0.065895268,-0.132632119,-0.074070439,-0.050746937,-6,0.77,-1.73,0.21
2019M06,0.067272007,0.122676766,-0.020801427,0.079843753,6.13,-2.04,-0.22,0.18
